Learning rate,l2 penalty parameter,Batchsize,Number of Epochs,Performance
0,0.3,640,320,0.435417
0,0.3,640,640,0.435417
0,0.3,640,1280,0.435417
0,0.3,640,2560,0.435417
0,0.3,1280,5,0.571317
0,0.3,1280,10,0.505469
0,0.3,1280,20,0.456585
0,0.3,1280,40,0.455134
0,0.3,1280,80,0.455134
0,0.3,1280,160,0.43058
0,0.3,1280,320,0.43058
0,0.3,1280,640,0.43058
0,0.3,1280,1280,0.43058
0,0.3,1280,2560,0.43058
0,0.3,2560,5,0.452474
0,0.3,2560,10,0.400781
0,0.3,2560,20,0.400781
0,0.3,2560,40,0.400781
0,0.3,2560,80,0.400781
0,0.3,2560,160,0.396354
0,0.3,2560,320,0.396354
0,0.3,2560,640,0.396354
0,0.3,2560,1280,0.396354
0,0.3,2560,2560,0.396354
0,0.4,20,5,0.7811
0,0.4,20,10,0.7811
0,0.4,20,20,0.7811
0,0.4,20,40,0.7811
0,0.4,20,80,0.7811
0,0.4,20,160,0.7811
0,0.4,20,320,0.7811
0,0.4,20,640,0.7811
0,0.4,20,1280,0.7811
0,0.4,20,2560,0.7811
0,0.4,40,5,0.7242
0,0.4,40,10,0.7242
0,0.4,40,20,0.7242
0,0.4,40,40,0.7242
0,0.4,40,80,0.7242
0,0.4,40,160,0.7242
0,0.4,40,320,0.7242
0,0.4,40,640,0.7242
0,0.4,40,1280,0.7242
0,0.4,40,2560,0.7242
0,0.4,80,5,0.7263
0,0.4,80,10,0.7134
0,0.4,80,20,0.7134
0,0.4,80,40,0.7134
0,0.4,80,80,0.7134
0,0.4,80,160,0.7134
0,0.4,80,320,0.7134
0,0.4,80,640,0.7134
0,0.4,80,1280,0.7134
0,0.4,80,2560,0.7134
0,0.4,160,5,0.753024
0,0.4,160,10,0.728327
0,0.4,160,20,0.728327
0,0.4,160,40,0.728327
0,0.4,160,80,0.728327
0,0.4,160,160,0.728327
0,0.4,160,320,0.728327
0,0.4,160,640,0.728327
0,0.4,160,1280,0.728327
0,0.4,160,2560,0.728327
0,0.4,320,5,0.597984
0,0.4,320,10,0.588004
0,0.4,320,20,0.588004
0,0.4,320,40,0.531855
0,0.4,320,80,0.531855
0,0.4,320,160,0.531855
0,0.4,320,320,0.531855
0,0.4,320,640,0.531855
0,0.4,320,1280,0.531855
0,0.4,320,2560,0.531855
0,0.4,640,5,0.635938
0,0.4,640,10,0.574375
0,0.4,640,20,0.477917
0,0.4,640,40,0.477917
0,0.4,640,80,0.477917
0,0.4,640,160,0.477917
0,0.4,640,320,0.477917
0,0.4,640,640,0.477917
0,0.4,640,1280,0.477917
0,0.4,640,2560,0.477917
0,0.4,1280,5,0.564844
0,0.4,1280,10,0.508929
0,0.4,1280,20,0.508929
0,0.4,1280,40,0.508929
0,0.4,1280,80,0.508929
0,0.4,1280,160,0.446205
0,0.4,1280,320,0.446205
0,0.4,1280,640,0.446205
0,0.4,1280,1280,0.446205
0,0.4,1280,2560,0.446205
0,0.4,2560,5,0.55651
0,0.4,2560,10,0.55651
0,0.4,2560,20,0.535156
0,0.4,2560,40,0.520703
0,0.4,2560,80,0.479557
0,0.4,2560,160,0.479557
0,0.4,2560,320,0.478255
0,0.4,2560,640,0.478255
0,0.4,2560,1280,0.478255
0,0.4,2560,2560,0.478255
0,0.5,20,5,0.7087
0,0.5,20,10,0.7087
0,0.5,20,20,0.7087
0,0.5,20,40,0.7087
0,0.5,20,80,0.7087
0,0.5,20,160,0.7087
0,0.5,20,320,0.7087
0,0.5,20,640,0.7087
0,0.5,20,1280,0.7087
0,0.5,20,2560,0.7087
0,0.5,40,5,0.6356
0,0.5,40,10,0.6356
0,0.5,40,20,0.6356
0,0.5,40,40,0.6356
0,0.5,40,80,0.6356
0,0.5,40,160,0.6356
0,0.5,40,320,0.6356
0,0.5,40,640,0.6356
0,0.5,40,1280,0.6356
0,0.5,40,2560,0.6356
0,0.5,80,5,0.8296
0,0.5,80,10,0.8296
0,0.5,80,20,0.8296
0,0.5,80,40,0.8296
0,0.5,80,80,0.8296
0,0.5,80,160,0.8296
0,0.5,80,320,0.8296
0,0.5,80,640,0.8296
0,0.5,80,1280,0.8296
0,0.5,80,2560,0.8296
0,0.5,160,5,0.754435
0,0.5,160,10,0.754435
0,0.5,160,20,0.754435
0,0.5,160,40,0.754435
0,0.5,160,80,0.754435
0,0.5,160,160,0.754435
0,0.5,160,320,0.754435
0,0.5,160,640,0.754435
0,0.5,160,1280,0.754435
0,0.5,160,2560,0.754435
0,0.5,320,5,0.654032
0,0.5,320,10,0.654032
0,0.5,320,20,0.654032
0,0.5,320,40,0.654032
0,0.5,320,80,0.654032
0,0.5,320,160,0.654032
0,0.5,320,320,0.654032
0,0.5,320,640,0.654032
0,0.5,320,1280,0.654032
0,0.5,320,2560,0.654032
0,0.5,640,5,0.62125
0,0.5,640,10,0.62125
0,0.5,640,20,0.62125
0,0.5,640,40,0.62125
0,0.5,640,80,0.62125
0,0.5,640,160,0.62125
0,0.5,640,320,0.62125
0,0.5,640,640,0.62125
0,0.5,640,1280,0.62125
0,0.5,640,2560,0.62125
0,0.5,1280,5,0.577679
0,0.5,1280,10,0.577679
0,0.5,1280,20,0.577679
0,0.5,1280,40,0.577679
0,0.5,1280,80,0.577679
0,0.5,1280,160,0.577679
0,0.5,1280,320,0.577679
0,0.5,1280,640,0.577679
0,0.5,1280,1280,0.577679
0,0.5,1280,2560,0.577679
0,0.5,2560,5,0.568099
0,0.5,2560,10,0.568099
0,0.5,2560,20,0.567708
0,0.5,2560,40,0.567578
0,0.5,2560,80,0.566927
0,0.5,2560,160,0.566927
0,0.5,2560,320,0.566927
0,0.5,2560,640,0.566927
0,0.5,2560,1280,0.566927
0,0.5,2560,2560,0.566927
0,0.6,20,5,0.7775
0,0.6,20,10,0.7775
0,0.6,20,20,0.7775
0,0.6,20,40,0.7775
0,0.6,20,80,0.7775
0,0.6,20,160,0.7775
0,0.6,20,320,0.7775
0,0.6,20,640,0.7775
0,0.6,20,1280,0.7775
0,0.6,20,2560,0.7775
0,0.6,40,5,0.7509
0,0.6,40,10,0.7509
0,0.6,40,20,0.7509
0,0.6,40,40,0.7509
0,0.6,40,80,0.7509
0,0.6,40,160,0.7509
0,0.6,40,320,0.7509
0,0.6,40,640,0.7509
0,0.6,40,1280,0.7509
0,0.6,40,2560,0.7509
0,0.6,80,5,0.9033
0,0.6,80,10,0.9033
0,0.6,80,20,0.9033
0,0.6,80,40,0.9033
0,0.6,80,80,0.9033
0,0.6,80,160,0.9033
0,0.6,80,320,0.9033
0,0.6,80,640,0.9033
0,0.6,80,1280,0.9033
0,0.6,80,2560,0.9033
0,0.6,160,5,0.725403
0,0.6,160,10,0.725403
0,0.6,160,20,0.725403
0,0.6,160,40,0.725403
0,0.6,160,80,0.725403
0,0.6,160,160,0.725403
0,0.6,160,320,0.725403
0,0.6,160,640,0.725403
0,0.6,160,1280,0.725403
0,0.6,160,2560,0.725403
0,0.6,320,5,0.669052
0,0.6,320,10,0.669052
0,0.6,320,20,0.669052
0,0.6,320,40,0.669052
0,0.6,320,80,0.669052
0,0.6,320,160,0.669052
0,0.6,320,320,0.669052
0,0.6,320,640,0.669052
0,0.6,320,1280,0.669052
0,0.6,320,2560,0.669052
0,0.6,640,5,0.865417
0,0.6,640,10,0.703854
0,0.6,640,20,0.703854
0,0.6,640,40,0.703854
0,0.6,640,80,0.6425
0,0.6,640,160,0.6425
0,0.6,640,320,0.6425
0,0.6,640,640,0.6425
0,0.6,640,1280,0.6425
0,0.6,640,2560,0.6425
0,0.6,1280,5,0.798661
0,0.6,1280,10,0.798661
0,0.6,1280,20,0.648772
0,0.6,1280,40,0.648772
0,0.6,1280,80,0.648772
0,0.6,1280,160,0.648772
0,0.6,1280,320,0.648772
0,0.6,1280,640,0.648772
0,0.6,1280,1280,0.648772
0,0.6,1280,2560,0.648772
0,0.6,2560,5,0.665755
0,0.6,2560,10,0.665755
0,0.6,2560,20,0.665755
0,0.6,2560,40,0.665755
0,0.6,2560,80,0.65625
0,0.6,2560,160,0.65599
0,0.6,2560,320,0.65599
0,0.6,2560,640,0.65599
0,0.6,2560,1280,0.65599
0,0.6,2560,2560,0.65599
0,0.7,20,5,0.8629
0,0.7,20,10,0.8629
0,0.7,20,20,0.8629
0,0.7,20,40,0.8629
0,0.7,20,80,0.8629
0,0.7,20,160,0.8629
0,0.7,20,320,0.8629
0,0.7,20,640,0.8629
0,0.7,20,1280,0.8629
0,0.7,20,2560,0.8629
0,0.7,40,5,0.897
0,0.7,40,10,0.897
0,0.7,40,20,0.897
0,0.7,40,40,0.897
0,0.7,40,80,0.897
0,0.7,40,160,0.897
0,0.7,40,320,0.897
0,0.7,40,640,0.897
0,0.7,40,1280,0.897
0,0.7,40,2560,0.897
0,0.7,80,5,0.8938
0,0.7,80,10,0.8786
0,0.7,80,20,0.8786
0,0.7,80,40,0.8786
0,0.7,80,80,0.8786
0,0.7,80,160,0.8786
0,0.7,80,320,0.8786
0,0.7,80,640,0.8786
0,0.7,80,1280,0.8786
0,0.7,80,2560,0.8786
0,0.7,160,5,0.834577
0,0.7,160,10,0.802218
0,0.7,160,20,0.802218
0,0.7,160,40,0.802218
0,0.7,160,80,0.802218
0,0.7,160,160,0.802218
0,0.7,160,320,0.802218
0,0.7,160,640,0.802218
0,0.7,160,1280,0.802218
0,0.7,160,2560,0.802218
0,0.7,320,5,0.783569
0,0.7,320,10,0.783569
0,0.7,320,20,0.783569
0,0.7,320,40,0.783569
0,0.7,320,80,0.783569
0,0.7,320,160,0.783569
0,0.7,320,320,0.783569
0,0.7,320,640,0.783569
0,0.7,320,1280,0.783569
0,0.7,320,2560,0.783569
0,0.7,640,5,0.888854
0,0.7,640,10,0.888854
0,0.7,640,20,0.775729
0,0.7,640,40,0.775729
0,0.7,640,80,0.775729
0,0.7,640,160,0.775729
0,0.7,640,320,0.775729
0,0.7,640,640,0.775729
0,0.7,640,1280,0.775729
0,0.7,640,2560,0.775729
0,0.7,1280,5,0.898438
0,0.7,1280,10,0.864621
0,0.7,1280,20,0.864621
0,0.7,1280,40,0.864621
0,0.7,1280,80,0.864621
0,0.7,1280,160,0.864621
0,0.7,1280,320,0.864621
0,0.7,1280,640,0.864621
0,0.7,1280,1280,0.864621
0,0.7,1280,2560,0.864621
0,0.7,2560,5,0.83151
0,0.7,2560,10,0.83151
0,0.7,2560,20,0.770703
0,0.7,2560,40,0.770703
0,0.7,2560,80,0.770703
0,0.7,2560,160,0.770703
0,0.7,2560,320,0.770703
0,0.7,2560,640,0.770703
0,0.7,2560,1280,0.770703
0,0.7,2560,2560,0.770703
0,0.8,20,5,0.9036
0,0.8,20,10,0.9036
0,0.8,20,20,0.9036
0,0.8,20,40,0.9036
0,0.8,20,80,0.9036
0,0.8,20,160,0.9036
0,0.8,20,320,0.9036
0,0.8,20,640,0.9036
0,0.8,20,1280,0.9036
0,0.8,20,2560,0.9036
0,0.8,40,5,0.897
0,0.8,40,10,0.897
0,0.8,40,20,0.897
0,0.8,40,40,0.897
0,0.8,40,80,0.897
0,0.8,40,160,0.897
0,0.8,40,320,0.897
0,0.8,40,640,0.897
0,0.8,40,1280,0.897
0,0.8,40,2560,0.897
0,0.8,80,5,0.891
0,0.8,80,10,0.891
0,0.8,80,20,0.891
0,0.8,80,40,0.891
0,0.8,80,80,0.891
0,0.8,80,160,0.891
0,0.8,80,320,0.891
0,0.8,80,640,0.891
0,0.8,80,1280,0.891
0,0.8,80,2560,0.891
0,0.8,160,5,0.864516
0,0.8,160,10,0.824093
0,0.8,160,20,0.824093
0,0.8,160,40,0.824093
0,0.8,160,80,0.824093
0,0.8,160,160,0.824093
0,0.8,160,320,0.824093
0,0.8,160,640,0.824093
0,0.8,160,1280,0.824093
0,0.8,160,2560,0.824093
0,0.8,320,5,0.884375
0,0.8,320,10,0.881956
0,0.8,320,20,0.831552
0,0.8,320,40,0.831552
0,0.8,320,80,0.831552
0,0.8,320,160,0.831552
0,0.8,320,320,0.831552
0,0.8,320,640,0.831552
0,0.8,320,1280,0.831552
0,0.8,320,2560,0.831552
0,0.8,640,5,0.875729
0,0.8,640,10,0.875729
0,0.8,640,20,0.875729
0,0.8,640,40,0.875729
0,0.8,640,80,0.874896
0,0.8,640,160,0.874896
0,0.8,640,320,0.874896
0,0.8,640,640,0.874896
0,0.8,640,1280,0.874896
0,0.8,640,2560,0.874896
0,0.8,1280,5,0.86808
0,0.8,1280,10,0.86808
0,0.8,1280,20,0.86808
0,0.8,1280,40,0.863951
0,0.8,1280,80,0.808371
0,0.8,1280,160,0.796205
0,0.8,1280,320,0.796205
0,0.8,1280,640,0.796205
0,0.8,1280,1280,0.796205
0,0.8,1280,2560,0.796205
0,0.8,2560,5,0.882292
0,0.8,2560,10,0.882292
0,0.8,2560,20,0.826693
0,0.8,2560,40,0.826693
0,0.8,2560,80,0.821484
0,0.8,2560,160,0.804167
0,0.8,2560,320,0.804167
0,0.8,2560,640,0.804167
0,0.8,2560,1280,0.804167
0,0.8,2560,2560,0.804167
0,0.9,20,5,0.9016
0,0.9,20,10,0.9016
0,0.9,20,20,0.9016
0,0.9,20,40,0.9016
0,0.9,20,80,0.9016
0,0.9,20,160,0.9016
0,0.9,20,320,0.9016
0,0.9,20,640,0.9016
0,0.9,20,1280,0.9016
0,0.9,20,2560,0.9016
0,0.9,40,5,0.8936
0,0.9,40,10,0.8936
0,0.9,40,20,0.8936
0,0.9,40,40,0.8936
0,0.9,40,80,0.8936
0,0.9,40,160,0.8936
0,0.9,40,320,0.8936
0,0.9,40,640,0.8936
0,0.9,40,1280,0.8936
0,0.9,40,2560,0.8936
0,0.9,80,5,0.8841
0,0.9,80,10,0.8841
0,0.9,80,20,0.8841
0,0.9,80,40,0.8841
0,0.9,80,80,0.8841
0,0.9,80,160,0.8841
0,0.9,80,320,0.8841
0,0.9,80,640,0.8841
0,0.9,80,1280,0.8841
0,0.9,80,2560,0.8841
0,0.9,160,5,0.88871
0,0.9,160,10,0.871774
0,0.9,160,20,0.871774
0,0.9,160,40,0.871774
0,0.9,160,80,0.871774
0,0.9,160,160,0.871774
0,0.9,160,320,0.871774
0,0.9,160,640,0.871774
0,0.9,160,1280,0.871774
0,0.9,160,2560,0.871774
0,0.9,320,5,0.896976
0,0.9,320,10,0.890927
0,0.9,320,20,0.825605
0,0.9,320,40,0.825605
0,0.9,320,80,0.825605
0,0.9,320,160,0.825605
0,0.9,320,320,0.825605
0,0.9,320,640,0.825605
0,0.9,320,1280,0.825605
0,0.9,320,2560,0.825605
0,0.9,640,5,0.882292
0,0.9,640,10,0.85625
0,0.9,640,20,0.854271
0,0.9,640,40,0.854271
0,0.9,640,80,0.854271
0,0.9,640,160,0.854271
0,0.9,640,320,0.854271
0,0.9,640,640,0.854271
0,0.9,640,1280,0.854271
0,0.9,640,2560,0.854271
0,0.9,1280,5,0.886719
0,0.9,1280,10,0.886719
0,0.9,1280,20,0.881808
0,0.9,1280,40,0.852679
0,0.9,1280,80,0.852679
0,0.9,1280,160,0.836496
0,0.9,1280,320,0.809152
0,0.9,1280,640,0.809152
0,0.9,1280,1280,0.809152
0,0.9,1280,2560,0.809152
0,0.9,2560,5,0.889323
0,0.9,2560,10,0.889323
0,0.9,2560,20,0.888672
0,0.9,2560,40,0.859115
0,0.9,2560,80,0.813281
0,0.9,2560,160,0.813281
0,0.9,2560,320,0.813281
0,0.9,2560,640,0.813281
0,0.9,2560,1280,0.813281
0,0.9,2560,2560,0.813281
0,1,20,5,0.9009
0,1,20,10,0.9009
0,1,20,20,0.9009
0,1,20,40,0.9009
0,1,20,80,0.9009
0,1,20,160,0.9009
0,1,20,320,0.9009
0,1,20,640,0.9009
0,1,20,1280,0.9009
0,1,20,2560,0.9009
0,1,40,5,0.9017
0,1,40,10,0.9017
0,1,40,20,0.9017
0,1,40,40,0.9017
0,1,40,80,0.9017
0,1,40,160,0.9017
0,1,40,320,0.9017
0,1,40,640,0.9017
0,1,40,1280,0.9017
0,1,40,2560,0.9017
0,1,80,5,0.9009
0,1,80,10,0.9009
0,1,80,20,0.9009
0,1,80,40,0.9009
0,1,80,80,0.9009
0,1,80,160,0.9009
0,1,80,320,0.9009
0,1,80,640,0.9009
0,1,80,1280,0.9009
0,1,80,2560,0.9009
0,1,160,5,0.908569
0,1,160,10,0.908569
0,1,160,20,0.908569
0,1,160,40,0.908569
0,1,160,80,0.908569
0,1,160,160,0.908569
0,1,160,320,0.908569
0,1,160,640,0.908569
0,1,160,1280,0.908569
0,1,160,2560,0.908569
0,1,320,5,0.908569
0,1,320,10,0.908569
0,1,320,20,0.908569
0,1,320,40,0.908569
0,1,320,80,0.908569
0,1,320,160,0.908569
0,1,320,320,0.908569
0,1,320,640,0.908569
0,1,320,1280,0.908569
0,1,320,2560,0.908569
0,1,640,5,0.901875
0,1,640,10,0.901875
0,1,640,20,0.901875
0,1,640,40,0.901875
0,1,640,80,0.901875
0,1,640,160,0.901875
0,1,640,320,0.901875
0,1,640,640,0.901875
0,1,640,1280,0.901875
0,1,640,2560,0.901875
0,1,1280,5,0.900558
0,1,1280,10,0.900558
0,1,1280,20,0.900558
0,1,1280,40,0.900558
0,1,1280,80,0.900558
0,1,1280,160,0.900558
0,1,1280,320,0.900558
0,1,1280,640,0.900558
0,1,1280,1280,0.900558
0,1,1280,2560,0.900558
0,1,2560,5,0.894141
0,1,2560,10,0.894141
0,1,2560,20,0.894141
0,1,2560,40,0.894141
0,1,2560,80,0.894141
0,1,2560,160,0.894141
0,1,2560,320,0.894141
0,1,2560,640,0.894141
0,1,2560,1280,0.894141
0,1,2560,2560,0.894141
1,0,20,5,0.0795
1,0,20,10,0.0795
1,0,20,20,0.0795
1,0,20,40,0.0795
1,0,20,80,0.0795
1,0,20,160,0.0795
1,0,20,320,0.0795
1,0,20,640,0.0795
1,0,20,1280,0.0795
1,0,20,2560,0.0795
1,0,40,5,0.0764
1,0,40,10,0.075
1,0,40,20,0.075
1,0,40,40,0.075
1,0,40,80,0.075
1,0,40,160,0.075
1,0,40,320,0.075
1,0,40,640,0.075
1,0,40,1280,0.075
1,0,40,2560,0.075
1,0,80,5,0.076
1,0,80,10,0.0725
1,0,80,20,0.0719
1,0,80,40,0.0719
1,0,80,80,0.0719
1,0,80,160,0.0719
1,0,80,320,0.0719
1,0,80,640,0.0719
1,0,80,1280,0.0719
1,0,80,2560,0.0719
1,0,160,5,0.07873
1,0,160,10,0.073387
1,0,160,20,0.070665
1,0,160,40,0.069758
1,0,160,80,0.069758
1,0,160,160,0.069758
1,0,160,320,0.069758
1,0,160,640,0.069758
1,0,160,1280,0.069758
1,0,160,2560,0.069758
1,0,320,5,0.081855
1,0,320,10,0.077319
1,0,320,20,0.073589
1,0,320,40,0.070363
1,0,320,80,0.06996
1,0,320,160,0.06996
1,0,320,320,0.06996
1,0,320,640,0.06996
1,0,320,1280,0.06996
1,0,320,2560,0.06996
1,0,640,5,0.085625
1,0,640,10,0.08125
1,0,640,20,0.077188
1,0,640,40,0.073333
